n,clip_id,provider,reference,hypothesis
1,sim-insurance-claim-p01-t03-incident_date,speechmatics-enhanced,"Um, that was, uh, this past Friday, April seventh.","Um, that was, uh, this past Friday, April 7th."
2,sim-job-application-p05-t06-reference_code,elevenlabs-scribe2,"Um, yes, I have that right here. It's M V seven zero six two C.","Um, yes, I have that right here. It's MV7062C."
3,sim-job-application-p01-t05-start_date,google-chirp3,"Uh, I would be able to start on, um, April third.",I would be able to start on April 3rd.
4,lowsnr-7a836f75-b381-71e0-572a-0452aabf4560,speechmatics-standard,I need to book a round trip flight for two adults from Chicago to Miami leaving on the 15th of next month and returning on the 22nd but I'm looking for,"I need to book a round trip flight for two adults from Chicago to Miami, leaving on the 15th of next month and returning on the 22nd. But I'm looking for."
5,trailsil-645f73ef-3f8a-d982-622e-8a08408b616c,elevenlabs-scribe2,Since the last time we spoke I realized that I may have made an error when I submitted that online form and now I can't figure out if it actually went through or,"Since the last time we spoke, I realized that I may have made an error when I submitted that online form, and now I can't figure out if it actually went through or..."
6,sim-insurance-claim-p07-t06-rooms_affected,google-chirp3,"Uh, let me think. It looks like seven rooms were affected, not including the, uh, hallways.","Let me think. It looks like seven rooms were affected, not including the hallways."
7,trailsil-2c1a8914-0c6f-5747-c62f-b97583970a9d,elevenlabs-scribe2,"I'm trying to find out if there are any volunteer opportunities at the local animal shelter this weekend, particularly for tasks like walking dogs or helping with the cleaning, and if","I'm trying to find out if there are any volunteer opportunities at the local animal shelter this weekend, particularly for tasks like walking dogs or helping with the cleaning, and if..."
8,7f99dd00-988a-23b8-7aa2-558528b6740b,xai-grok-stt,My main smoke alarm is chirping even though I put a new brand new battery in this morning and I've tried cleaning it for any dust but it's still,"My main smoke alarm isn't chirping even though I put a brand new battery in this morning. And I tried cleaning it for any dust, but it still My main smoke alarm isn't chirping even though I put a brand new battery in this morning, and I tried cleaning it for any dust, but it still..."
9,trailsil-13b96bda-c9b7-3734-c0e3-f4d125c71b32,speechmatics-standard,I'm looking for a vegan brownie recipe that doesn't use any artificial sweeteners or processed oils but still comes out very moist.,"I'm looking for a vegan brownie receipt that doesn't use any artificial sweeteners or processed oils, but still comes out very moist."
10,trailsil-ccd031a0-b2a7-8693-c226-00105fbb37d2,elevenlabs-scribe2,I'm trying to sync my contacts from my old phone to my new one but only about half of them are transferring over and the rest seem to be stuck somewhere because,"I'm trying to sync my contacts from my old phone to my new one, but only about half of them are transferring over, and the rest seem to be stuck somewhere because..."
11,04466e04-72b1-5d62-aef9-6671364ef519,apple-speech-stt,Tell me the origin of the saying break a leg and explain why it is considered good luck,Tell me the origin of the saying break a leg and explain why it is considered good luck
12,lowsnr-11dbb0a3-60bd-4462-d590-a9ac3ecfb5ea,speechmatics-standard,I'm looking for a vegan lasagna recipe that uses cashews for a ricotta substitute and includes a variety of roasted vegetables like zucchini bell peppers and eggplant between the layers,I'm looking for. Through the variety.
13,2188f761-92ba-8373-53bd-2b5924b2e605,cartesia-ink2,I'm trying to bake a chiffon cake at a much higher altitude than I'm used to and I know I need to adjust the recipe's ingredients but I'm not sure by how much,"I'm trying to bake a chiffon cake at a much higher altitude than I'm used to, and I know I need to adjust the recipe's ingredients, but I'm not sure by how much."
14,lowsnr-16a94355-1197-cc13-2aaa-0c90a4273381,elevenlabs-scribe2,Could you compare the key features pricing and storage capacities of the top three cloud storage providers and highlight which one offers the best security protocols for sensitive personal documents,"Could you compare the key features, pricing, and storage capacities of the top three cloud storage providers and highlight which one offers the best security protocols for sensitive personal documents?"
15,f9581f58-ab64-4a6a-b049-32b720cd19f7,cartesia-ink2,I want to report a fraudulent transaction on my debit card that occurred about an hour ago and I need you to immediately freeze the card to prevent any further unauthorized charges,"I want to report a fraudulent transaction on my debit card that occurred about an hour ago, and I need you to immediately freeze the card to prevent any further unauthorized charges."
16,93784921-0769-176f-9403-6866c4a3199e,deepgram-flux,presentation and I didn't unders I didn't know that they,"presentation, and I didn't under... I didn't know that they"
17,58fff51b-267b-de9a-9d5b-0a14173a80f8,apple-speech-stt,Mexican food,Mexican food
18,lowsnr-50a87d25-c3c5-d210-0e47-39c0c8c2f66f,speechmatics-standard,"Can you clearly explain the difference between sautéing, pan-frying, and deep-frying as cooking methods, focusing on the amount of oil used, the cooking temperature, and the desired texture for each?",Really explain. Focusing on the amount of oil used. The system is going to by.
